Date,Open_IONQ,High_IONQ,Low_IONQ,Close_IONQ,"Osc(5,15)_IONQ",Sig(9)_IONQ,Diff_IONQ,Volume_IONQ,UBB(2) - Upper Band_IONQ,BollMA (20) - Moving Average_IONQ,LBB(2) - Lower Band_IONQ,BollW - Bandwith_IONQ,%B_IONQ,RSI - Relative Strength Index_IONQ,Ichimoku - Conversion Line_IONQ,Ichimoku - Base(26)_IONQ,Ichimoku - Lag Line(26)_IONQ,Ichimoku  - Leading Span 1(26)_IONQ,Ichimoku  - Leading Span 2_IONQ,Stochastics - %DS(5)_IONQ,Stochastics - %DSS(3)_IONQ,Williams%R - WLPR(14)_IONQ,Directional Movement Index +DMI_IONQ,Directional Movement Index -DMI_IONQ,Directional Movement Index - ADX_IONQ,"Moving Average - MACD(12,26)_IONQ",Moving Average Signal Line - Sig(9)_IONQ,Moving Average Diff_IONQ,Average True Range - ATR(5)_IONQ,Rate of Change - ROC (1) on_IONQ,Open_VIX_INDEX,High_VIX_INDEX,Low_VIX_INDEX,Close_VIX_INDEX,SMAVG (50)_VIX_INDEX,SMAVG (100)_VIX_INDEX,SMAVG (200)_VIX_INDEX,Open_SPX,High_SPX,Low_SPX,Close_SPX,SMAVG (50)_SPX,SMAVG (100)_SPX,SMAVG (200)_SPX,Volume_SPX,SMAVG (15)_SPX
11/16/2023,12.79,12.79,12.0601,12.2,0.8427,0.3476,0.495,7.568M,13.2506,11.2095,9.1684,36.4172,0.7426,49.9349,11.865,12.73, ,16.215,16.895,41.2962,36.6316,-31.7241,31.2457,20.951,17.8499,-0.3801,-0.7342,0.3541,1.1015,-6.0816,14.12,14.42,13.68,14.32,16.86,15.83,17.05,4497.08,4511.99,4487.83,4508.24,4338.03,4407.35,4264.8,662.715M,678.399M
11/15/2023,12.81,13.58,12.28,12.99,0.8007,0.117,0.6836,12.077M,13.5036,11.273,9.0424,39.5746,0.8849,55.4601,11.865,12.915, ,16.215,16.895,36.2646,32.7185,-13.5632,33.377,20.767,17.7058,-0.4525,-0.8227,0.3702,1.1872,2.3641,14.21,14.35,13.97,14.18,16.86,15.83,17.07,4505.3,4521.17,4495.31,4502.88,4336.89,4406.05,4262.85,698.147M,687.498M
11/14/2023,11.87,12.735,11.66,12.69,0.6573,-0.161,0.8183,10.07M,13.6637,11.308,8.9523,41.6651,0.7933,53.6517,11.4425,12.915, ,16.16,16.895,32.3341,29.6909,-1.2839,30.3048,22.7846,17.2763,-0.6188,-0.9153,0.2965,1.1308,9.8701,14.83,14.86,13.91,14.16,16.86,15.82,17.1,4458.97,4508.67,4458.97,4495.7,4336.14,4404.31,4260.72,726.301M,689.091M
11/13/2023,10.59,11.74,10.53,11.55,0.5253,-0.4803,1.0056,12.006M,14.0432,11.3925,8.7418,46.5349,0.5297,45.9014,11.09,12.915, ,15.9213,16.895,29.5568,27.0576,-30.7463,25.4967,24.8261,17.5156,-0.7916,-0.9894,0.1978,1.1038,8.349,15.16,15.19,14.58,14.76,16.86,15.81,17.12,4406.66,4421.76,4393.82,4411.55,4336.16,4402.84,4258.33,520.765M,683.106M
11/10/2023,11.27,11.27,10.15,10.66,0.3847,-0.8215,1.2061,11.94M,14.4954,11.5355,8.5756,51.3173,0.3521,38.4386,10.905,12.915, ,15.8538,16.895,27.1819,23.9854,-57.3134,24.2576,27.131,18.7604,-0.8844,-1.0389,0.1544,1.0506,-5.0757,15.09,15.45,14.16,14.17,16.84,15.81,17.14,4364.15,4418.03,4353.34,4415.24,4338.25,4402.54,4256.63,633.185M,689.884M
11/9/2023,11.18,12.58,10.91,11.23,0.44,-1.1637,1.6037,16.07M,14.8782,11.717,8.5558,53.959,0.423,41.8738,10.905,12.915, ,15.8488,16.895,24.434,20.1074,-45.198,26.3612,23.5993,19.7734,-0.8995,-1.0775,0.178,1.016,-1.5776,14.61,15.57,14.13,15.29,16.82,15.8,17.16,4391.41,4393.4,4343.94,4347.35,4340.1,4402.05,4254.85,642.827M,704.151M
11/8/2023,11.56,11.57,11.105,11.41,0.2727,-1.4804,1.753,7.449M,15.4128,11.916,8.4192,58.6906,0.4276,43.0007,10.66,12.915, ,15.8488,16.895,20.3402,15.6324,-49.1842,21.7058,26.8194,20.8692,-0.9637,-1.122,0.1583,0.6889,-0.5231,14.91,15.09,14.3,14.45,16.79,15.78,17.18,4384.37,4391.2,4359.76,4382.78,4343.45,4402.46,4253.2,629.648M,708.343M
11/7/2023,11.19,11.61,11.0301,11.47,-0.1173,-1.7621,1.6448,7.873M,15.9825,12.13,8.2775,63.5201,0.4143,43.3619,10.66,12.915, ,15.8488,16.895,15.548,11.2893,-53.719,22.4996,27.8002,21.6639,-1.0499,-1.1615,0.1116,0.8009,2.3194,15.1,15.17,14.71,14.81,16.78,15.77,17.2,4366.21,4386.26,4355.41,4378.38,4345.74,4402.73,4251.37,626.635M,708.372M
11/6/2023,11.81,11.92,10.9694,11.21,-0.6773,-1.957,1.2797,10.032M,16.5451,12.3565,8.1679,67.7967,0.3631,41.3807,10.66,12.915, ,15.99,16.895,11.009,7.8404,-62.6415,23.4945,29.0296,22.5197,-1.1508,-1.1894,0.0386,0.9114,-3.1952,15.39,15.58,14.84,14.89,16.77,15.76,17.23,4364.27,4372.21,4347.53,4365.98,4346.84,4403.2,4249.58,600.478M,709.495M
11/3/2023,11.24,12.09,11.24,11.58,-1.2327,-2.049,0.8163,9.591M,16.795,12.528,8.261,68.1191,0.3889,43.3862,10.66,12.915, ,16.03,16.895,7.3109,5.5363,-57.116,25.1902,29.0703,23.4413,-1.2364,-1.1991,-0.0373,0.8918,3.9497,15.7,15.83,14.91,14.91,16.77,15.75,17.25,4334.23,4373.62,4334.23,4358.34,4347.64,4403.27,4247.61,710.335M,708.925M
